scenario,p,q,HAC,N,R2,AdjR2,r_BIST100_L0:coef,r_BIST100_L0:t,r_BIST100_L0:p,r_USDTRY_L0:coef,r_USDTRY_L0:t,r_USDTRY_L0:p,r_USDTRY_L1:coef,r_USDTRY_L1:t,r_USDTRY_L1:p,r_BRENT_L0:coef,r_BRENT_L0:t,r_BRENT_L0:p,d_VIX_L0:coef,d_VIX_L0:t,d_VIX_L0:p,d_CDS_L0:coef,d_CDS_L0:t,d_CDS_L0:p,VIX_L0:coef,VIX_L0:t,VIX_L0:p,CDS_L0:coef,CDS_L0:t,CDS_L0:p
"VIX=diff, CDS=diff",1,1,1,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,25.437545353306625,9.696397197213658e-143,0.09772995922226305,1.8751625954969287,0.060770358262605816,0.07468366755084235,1.9439857270634484,0.05189717229606647,0.03874314786295939,1.7637431919631525,0.07777522568105143,0.053143278249535006,1.9201762082543428,0.05483564575754525,0.003363412685422677,0.7411695684592003,0.45859063243083775,,,,,,
"VIX=diff, CDS=diff",1,1,3,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,25.175800509942793,7.375776721935507e-140,0.09772995922226305,1.8410472968301934,0.06561462795432595,0.07468366755084235,1.9725453972857456,0.04854737924542025,0.03874314786295939,1.790118268114455,0.07343490060198438,0.053143278249535006,1.8841272913384948,0.059547759468888836,0.003363412685422677,0.7444956337206919,0.45657668174899513,,,,,,
"VIX=diff, CDS=diff",1,1,5,1508,0.44363119404861595,0.43728336203440554,1.0481649431510316,24.846489426929036,2.8219639458996445e-136,0.09772995922226305,1.829198211864084,0.0673699202318824,0.07468366755084235,2.060900597879681,0.039312524253807615,0.03874314786295939,1.7622524758489346,0.0780266495054155,0.053143278249535006,1.9048966434283394,0.0567935076652632,0.003363412685422677,0.742363687872426,0.45786701412221675,,,,,,
"VIX=diff, CDS=diff",3,3,1,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.52886177377395,9.42845370446762e-144,0.11064622646086622,2.1491844945091643,0.03161977791110087,0.0769195406981901,1.8685283676513118,0.06168845985317832,0.045378767882412185,2.1347134462237936,0.032784423984159775,0.05204312003762907,1.9010373752270964,0.05729711729011951,0.003160595290677291,0.7206357488896622,0.47113365296407383,,,,,,
"VIX=diff, CDS=diff",3,3,3,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.654680017204885,3.7490559973798326e-145,0.11064622646086622,2.094580879245329,0.03620826641407176,0.0769195406981901,1.8484080818941506,0.0645433304425454,0.045378767882412185,2.1621829910822705,0.030604074056601187,0.05204312003762907,1.922487141728447,0.05454449000187488,0.003160595290677291,0.721684688309591,0.4704883580448952,,,,,,
"VIX=diff, CDS=diff",3,3,5,1506,0.451423327723509,0.4383619783835926,1.0442049486111358,25.6537602883814,3.838703743545633e-145,0.11064622646086622,2.060752872909078,0.03932662259961511,0.0769195406981901,1.9267683595054708,0.05400850429267671,0.045378767882412185,2.114046610047488,0.03451128654043007,0.05204312003762907,1.9669752693606923,0.049186061952191946,0.003160595290677291,0.7139240566879711,0.4752741408047455,,,,,,
"VIX=diff, CDS=diff",5,5,1,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,25.93153850527067,2.9373747255798893e-148,0.11798968951512395,2.266349922012082,0.02342996711426647,0.07110897063633653,1.5753244099991357,0.11518158237305604,0.046431603868360226,2.1688437717815923,0.03009454680214517,0.051801184416360974,1.888158488218304,0.05900467683854589,0.003007351804550348,0.6773890653163165,0.4981591342830428,,,,,,
"VIX=diff, CDS=diff",5,5,3,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,26.25899172578006,5.642719049109595e-152,0.11798968951512395,2.275600215374732,0.022869948438330897,0.07110897063633653,1.5799327616264596,0.11412226552651801,0.046431603868360226,2.1887664938390623,0.02861381621548862,0.051801184416360974,1.8858094434078359,0.05932063792231287,0.003007351804550348,0.6789689272837697,0.4971575503333894,,,,,,
"VIX=diff, CDS=diff",5,5,5,1504,0.4615315186629194,0.4418495672761158,1.0409516544195663,26.254539551452012,6.343526364429614e-152,0.11798968951512395,2.3115514960531627,0.02080241221336979,0.07110897063633653,1.6852910240689756,0.09193243664544755,0.046431603868360226,2.152280736850965,0.03137525006046615,0.051801184416360974,1.9108681550749547,0.056021526365491715,0.003007351804550348,0.672713135424877,0.5011298093066036,,,,,,
"VIX=diff, CDS=level",1,1,1,1508,0.4450924342717131,0.4387612741258199,1.0534176682657757,25.445302984077586,7.957264080507833e-143,0.08993856650527006,1.7521330176139374,0.07975093801806804,0.0719566642835962,1.954861389658002,0.05059943287205773,0.036310679955469397,1.6502870207831342,0.09888424564915808,0.05135031228604585,1.8742919569145815,0.06089019550296569,,,,,,,0.002899185092622339,0.6416614482739689,0.5210930256789417
"VIX=diff, CDS=level",1,1,3,1508,0.4450924342717131,0.4387612741258199,1.0534176682657757,25.270770055781806,6.69652641292909e-141,0.08993856650527006,1.7305801885235323,0.08352666771263892,0.0719566642835962,1.967159305680763,0.049164847876175186,0.036310679955469397,1.6703786136278864,0.09484447822189063,0.05135031228604585,1.8370936432651364,0.06619607243163173,,,,,,,0.002899185092622339,0.646196372037405,0.5181521887874434
"VIX=diff, CDS=level",1,1,5,1508,0.4450924342717131,0.4387612741258199,1.0534176682657757,24.927460902225633,3.749565350428124e-137,0.08993856650527006,1.725741140485515,0.08439399312553293,0.0719566642835962,2.0410929534807045,0.04124158866183894,0.036310679955469397,1.6371515519792945,0.10159880720105118,0.05135031228604585,1.8497670239921746,0.06434713560173778,,,,,,,0.002899185092622339,0.6451888536887737,0.5188048085413423
"VIX=diff, CDS=level",3,3,1,1506,0.4518722130130751,0.4388215514181484,1.049896689126316,25.646386282551777,4.6393076892697985e-145,0.10749450679685328,2.0758141749529746,0.037911140844915966,0.089191350173579,2.2866977097578998,0.022213473476807126,0.04260770898704082,1.9765331749884394,0.04809442221752493,0.047312379186749375,1.6941720590045923,0.09023259261519338,,,,,,,0.0034120788513137637,0.7786489738834252,0.43618652164509597
"VIX=diff, CDS=level",3,3,3,1506,0.4518722130130751,0.4388215514181484,1.049896689126316,25.920176550538322,3.94528661800139e-148,0.10749450679685328,2.0242594808312853,0.042943460360999317,0.089191350173579,2.255131455888189,0.02412507873210175,0.04260770898704082,1.9880758644228107,0.046803300236709894,0.047312379186749375,1.7097297024351135,0.08731586755773431,,,,,,,0.0034120788513137637,0.7818265210785953,0.4343165325705429
"VIX=diff, CDS=level",3,3,5,1506,0.4518722130130751,0.4388215514181484,1.049896689126316,25.95034497416862,1.8020697839275516e-148,0.10749450679685328,1.9904501683073208,0.04654136815499291,0.089191350173579,2.34970290409712,0.018788400761193966,0.04260770898704082,1.938847427999726,0.052519919031575574,0.047312379186749375,1.7522902710544805,0.07972390809265131,,,,,,,0.0034120788513137637,0.7734497921789713,0.4392562317402433
"VIX=diff, CDS=level",5,5,1,1504,0.4627965249788064,0.4431608117538939,1.0448916681322231,26.056112208910744,1.1470298551297484e-149,0.11886512261045662,2.2933458017911486,0.021828104281960126,0.07373155137090331,1.6799641336072633,0.09296429426584057,0.04467802510064655,2.1021525214520818,0.03553991732127412,0.04753387116564646,1.73448482958262,0.08283209516899442,,,,,,,0.002777071347205786,0.6272886784260657,0.5304700233642954
"VIX=diff, CDS=level",5,5,3,1504,0.4627965249788064,0.4431608117538939,1.0448916681322231,26.471870914747967,2.043846238836999e-154,0.11886512261045662,2.304062298866329,0.021219146703723973,0.07373155137090331,1.6864031252311482,0.09171817990737191,0.04467802510064655,2.118150916138349,0.034162288583379156,0.04753387116564646,1.7314233968250925,0.08337627662885319,,,,,,,0.002777071347205786,0.6312178630011587,0.5278980837280007
"VIX=diff, CDS=level",5,5,5,1504,0.4627965249788064,0.4431608117538939,1.0448916681322231,26.503029875558735,8.943473700197052e-155,0.11886512261045662,2.319688499188646,0.020357734437502384,0.07373155137090331,1.8095753148176261,0.07036167087220369,0.04467802510064655,2.0762811358356683,0.0378679569667547,0.04753387116564646,1.7512775104582528,0.07989811966274571,,,,,,,0.002777071347205786,0.6263436369521543,0.5310895701322345
"VIX=level, CDS=diff",1,1,1,1508,0.4434951245552273,0.43714574007028706,1.0459836712834425,25.481242851649462,3.182068498557119e-143,0.09967805865250091,1.9156723493010293,0.055406814104818514,0.07243594166720288,1.8606687862843054,0.06279096438555068,0.03741198786804783,1.7097026438699012,0.08732087360958132,,,,0.003553787975612013,0.7789014077303326,0.43603779463636216,0.047107205257938566,1.6571548987334321,0.09748816228011983,,,
"VIX=level, CDS=diff",1,1,3,1508,0.4434951245552273,0.43714574007028706,1.0459836712834425,25.20360759862211,3.6570193333619477e-140,0.09967805865250091,1.8827878661084814,0.05972912209395911,0.07243594166720288,1.8939795129454673,0.05822772924791354,0.03741198786804783,1.7322891809024756,0.08322208731604937,,,,0.003553787975612013,0.7810786785978873,0.434756221247406,0.047107205257938566,1.6301971113712785,0.10305984425050503,,,
"VIX=level, CDS=diff",1,1,5,1508,0.4434951245552273,0.43714574007028706,1.0459836712834425,24.896875611369236,8.043060249792372e-137,0.09967805865250091,1.8658628121612295,0.06206056164542363,0.07243594166720288,1.978246444060662,0.04790091160879305,0.03741198786804783,1.7044610953252686,0.08829497835681639,,,,0.003553787975612013,0.7803697530367288,0.4351732662009712,0.047107205257938566,1.6353431776890903,0.10197712693492167,,,
"VIX=level, CDS=diff",3,3,1,1506,0.4507851809353447,0.43770863762428147,1.0449915314305387,25.589469902291302,1.9982560304250745e-144,0.11047349189739598,2.1404024758077984,0.03232225462272387,0.0766195877444025,1.871703327986711,0.06124765887690938,0.04493468715148305,2.103063582561939,0.03546021183416469,,,,0.002971647181080371,0.6686769807013146,0.5037015546261677,0.04886070042843228,1.737674919135525,0.08226811047960661,,,
"VIX=level, CDS=diff",3,3,3,1506,0.4507851809353447,0.43770863762428147,1.0449915314305387,25.71311375092647,8.339597128398208e-146,0.11047349189739598,2.081364327448345,0.037400571250306644,0.0766195877444025,1.850840034896137,0.06419256961669881,0.04493468715148305,2.1365183795030367,0.03263718450476471,,,,0.002971647181080371,0.668330662881888,0.5039225444979478,0.04886070042843228,1.7226324603182248,0.08495501108144497,,,
"VIX=level, CDS=diff",3,3,5,1506,0.4507851809353447,0.43770863762428147,1.0449915314305387,25.717172244846246,7.511932877278254e-146,0.11047349189739598,2.0472380158556978,0.04063472050876428,0.0766195877444025,1.9313037133056992,0.05344550445507856,0.04493468715148305,2.097101170948743,0.03598462036297089,,,,0.002971647181080371,0.6634195965111177,0.5070618586259954,0.04886070042843228,1.7439403524014208,0.08116949130160227,,,
"VIX=level, CDS=diff",5,5,1,1504,0.4614459875628887,0.4417609098669115,1.041289059877095,25.922836569340703,3.6820423891869684e-148,0.11753050165485193,2.2557447587744504,0.024086620718048537,0.07119277983052835,1.5710656366669074,0.11616740349366754,0.04715759357179301,2.229001626458203,0.025813796567033424,,,,0.0032920338475948786,0.7361414206439783,0.4616446375639661,0.04991453984579367,1.789753330769279,0.07349357475217592,,,
"VIX=level, CDS=diff",5,5,3,1504,0.4614459875628887,0.4417609098669115,1.041289059877095,26.239800406641358,9.345132272376334e-152,0.11753050165485193,2.264292989552645,0.023556100476966577,0.07119277983052835,1.5739498606708888,0.11549904144569154,0.04715759357179301,2.2549485395484137,0.024136559058771153,,,,0.0032920338475948786,0.7363482273576016,0.46151880338093765,0.04991453984579367,1.7702828565611308,0.07668003247152563,,,
"VIX=level, CDS=diff",5,5,5,1504,0.4614459875628887,0.4417609098669115,1.041289059877095,26.23992540235113,9.314487418687491e-152,0.11753050165485193,2.3035025698722964,0.021250582733446443,0.07119277983052835,1.6764435794639205,0.09365133884286955,0.04715759357179301,2.2231772406026793,0.026203850880849932,,,,0.0032920338475948786,0.7308064466963973,0.46489738529613234,0.04991453984579367,1.786213401291968,0.0740647120430284,,,
"VIX=level, CDS=level",1,1,1,1508,0.4452166322212304,0.4388868890989224,1.0540284414330667,25.415255413755904,1.7105178867722177e-142,0.09170003128406241,1.7877454925305774,0.07381707850260097,0.07081036502099106,1.9140735318961422,0.05561076092104154,0.037009144214505026,1.6706438237706824,0.09479205093016907,,,,,,,0.05210075767064786,1.8528008841025574,0.06391090348021114,0.0026602614031645483,0.5861121351372794,0.5578001619344379
"VIX=level, CDS=level",1,1,3,1508,0.4452166322212304,0.4388868890989224,1.0540284414330667,25.207831421147564,3.2871367247905353e-140,0.09170003128406241,1.7657474349808242,0.07743823080970338,0.07081036502099106,1.928651698681263,0.05377411632867056,0.037009144214505026,1.6928550847338364,0.09048305452156742,,,,,,,0.05210075767064786,1.812008680543895,0.06998485523918917,0.0026602614031645483,0.588412618367124,0.5562553701187856
"VIX=level, CDS=level",1,1,5,1508,0.4452166322212304,0.4388868890989224,1.0540284414330667,24.887168763139332,1.0245324240934624e-136,0.09170003128406241,1.752860903462069,0.07962588595831585,0.07081036502099106,2.0016114996912804,0.045326531240390405,0.037009144214505026,1.6667117631823698,0.09557173273809773,,,,,,,0.05210075767064786,1.808634989873966,0.07050772882870011,0.0026602614031645483,0.5886809626110397,0.5560753109285324
"VIX=level, CDS=level",3,3,1,1506,0.45102713210622647,0.4379563495373271,1.0522344527419398,25.636388229328713,5.997350846286515e-145,0.10669565151319256,2.0452466303354737,0.04083054939888224,0.09012091876915472,2.3361414608941056,0.01948387005349171,0.043199392298140724,1.9899481866261384,0.046596643442205994,,,,,,,0.048011614207077065,1.6719375349198708,0.09453664025720737,0.002831676887914111,0.636665065055717,0.5243430337902713
"VIX=level, CDS=level",3,3,3,1506,0.45102713210622647,0.4379563495373271,1.0522344527419398,25.90115583674256,6.462995361198475e-148,0.10669565151319256,1.9872158818645222,0.04689847861410079,0.09012091876915472,2.3019712451202485,0.02133679383226176,0.043199392298140724,2.0111134209950867,0.04431347789112709,,,,,,,0.048011614207077065,1.6476445795039516,0.09942562678771004,0.002831676887914111,0.6365997272181838,0.5243856029292389
"VIX=level, CDS=level",3,3,5,1506,0.45102713210622647,0.4379563495373271,1.0522344527419398,25.944162586406527,2.1161310255233487e-148,0.10669565151319256,1.9511448950770052,0.051039811914427136,0.09012091876915472,2.4005184424546804,0.016371865739949826,0.043199392298140724,1.9764880955867057,0.04809952270908683,,,,,,,0.048011614207077065,1.6686699653188488,0.09518280460584728,0.002831676887914111,0.6315142710657397,0.5277043210324823
"VIX=level, CDS=level",5,5,1,1504,0.4629125850462902,0.4432811140169477,1.0465174151544372,25.996411712073293,5.437088797570416e-149,0.11858100597984997,2.2745384735366274,0.02293363061131286,0.07442853415001871,1.708301603617658,0.08758039391608541,0.04721250169950934,2.2275213213536564,0.025912452454257065,,,,,,,0.05099207778997494,1.8286253665323684,0.06745574994610615,0.002657188986880828,0.5953481350459867,0.5516107865852288
"VIX=level, CDS=level",5,5,3,1504,0.4629125850462902,0.4432811140169477,1.0465174151544372,26.399722692422632,1.380251224168955e-153,0.11858100597984997,2.282041014643543,0.022486918896579448,0.07442853415001871,1.71168693022909,0.08695437847426424,0.04721250169950934,2.2495292579423496,0.024478843517855654,,,,,,,0.05099207778997494,1.806086946264994,0.07090475950881343,0.002657188986880828,0.5971770439109365,0.5503891840379804
"VIX=level, CDS=level",5,5,5,1504,0.4629125850462902,0.4432811140169477,1.0465174151544372,26.440148365693286,4.7364180925089085e-154,0.11858100597984997,2.2936751722337094,0.021809163893981433,0.07442853415001871,1.8343998954554062,0.06659465513128177,0.04721250169950934,2.217922477328094,0.026560118634957875,,,,,,,0.05099207778997494,1.8201163136486451,0.06874129376256118,0.002657188986880828,0.5927323258228767,0.5533603041438901
